TF,TargetGene,Effect,PMID,DATABASEA,Tissue
HNF1B,AKR1C4,Activation,2044952,UNIPROT,"lung,liver,kidney"
HNF4G,AKR1C4,Activation,2044952,UNIPROT,"lung,liver,kidney"
SP1,CYP27A1,Activation,11867220,UNIPROT,liver
SP3,CYP27A1,Activation,11867220,UNIPROT,liver
HNF4A,CYP27A1,Activation,11867220,UNIPROT,liver
NCOA1,CYP7A1,Activation,16891307,UNIPROT,liver
DBP,CYP7A1,Activation,8617210,UNIPROT,"kidney,liver"
TFEB,CYP7A1,Activation,33176151,UNIPROT,uterus
PPARGC1A,CYP7A1,Activation,16891307,UNIPROT,liver
AR,CYP7B1,Repression,16630558,UNIPROT,"prostate,kidney"
SP1,DHCR24,Activation,22431021,UNIPROT,liver
SREBF2,HMGCR,Activation,31848472,UNIPROT,"cns,heart"
SP1,PCYT1A,Activation,10744779,UNIPROT,mammarygland
SP2,PCYT1A,Repression,10744779,UNIPROT,mammarygland
SP3,PCYT1A,Activation,10744779,UNIPROT,mammarygland
ACSS2,GBA,Activation,28552616,UNIPROT,cns
TFEB,GBA,Activation,28552616,UNIPROT,cns
TFEB,GLA,Activation,19556463,UNIPROT,liver
TFEB,HEXA,Activation,19556463,UNIPROT,"cns,kidney,fibroblasts,uterus"
TFEB,NEU1,Activation,19556463,UNIPROT,liver
MYC,ST3GAL3,Activation,22547830,UNIPROT,colon
ATF2,ST3GAL5,Activation,21699754,UNIPROT,sensory
SP1,UGCG,Activation,15342415,UNIPROT,leukocytes
IRX1,UGT8,Activation,20440264,UNIPROT,stomach
TFEB,APOA4,Activation,33176151,UNIPROT,uterus
RAD21,APOB,Repression,25575569,UNIPROT,liver
NCOA1,APOC3,Activation,16891307,UNIPROT,liver
PPARGC1A,APOC3,Activation,16891307,UNIPROT,liver
SREBF2,LDLR,Activation,21123766,UNIPROT,"rectum,liver,colon,kidney"
HNF4A,LDLR,Activation,21123766,UNIPROT,"rectum,liver,colon,kidney"
TGFB1,LPL,Activation,11742878,UNIPROT,leukocytes
IFNG,LPL,Repression,2114181,UNIPROT,leukocytes
INS,LPL,Activation,21966368,UNIPROT,adiposetissue
TNF,LPL,Repression,3063839,UNIPROT,liver
SREBF1,MTTP,Activation,11111091,UNIPROT,liver
PPARA,ACSL1,Activation,17150915,UNIPROT,kidney
NFIL3,CYP3A4,Repression,18004209,UNIPROT,liver
NR1I2,CYP3A4,Activation,18540626,UNIPROT,colon
DBP,CYP3A4,Activation,18004209,UNIPROT,liver
NFATC1,PTGS2,Activation,21871017,UNIPROT,mammarygland
IRX1,PTGS2,Activation,20440264,UNIPROT,stomach
NFATC3,PTGS2,Activation,21871017,UNIPROT,mammarygland
NFATC4,PTGS2,Activation,21871017,UNIPROT,mammarygland
NFATC2,PTGS2,Activation,21871017,UNIPROT,mammarygland
TET1,PTEN,Activation,27121319,UNIPROT,stomach
KDM5C,PTEN,Repression,30921702,UNIPROT,prostate
KDM5A,PTEN,Repression,31374292,UNIPROT,"bonemarrow,leukocytes,blood"
BMI1,PTEN,Repression,19884659,UNIPROT,lung
SALL4,PTEN,Repression,19440552,UNIPROT,"bonemarrow,kidney"
TFEB,SACM1L,Activation,30145926,UNIPROT,kidney
TFEB,ACACB,Activation,33176151,UNIPROT,uterus
YY1,HSD3B2,Activation,15291746,UNIPROT,"adrenalgland,placenta,testis,ovary"
NR5A1,HSD3B2,Activation,19022561,UNIPROT,liver
NR5A2,HSD3B2,Activation,19022561,UNIPROT,uterus
FOS,HSD3B2,Activation,19022561,UNIPROT,uterus
JUN,HSD3B2,Activation,19022561,UNIPROT,uterus
STAT6,HSD3B2,Activation,15632317,UNIPROT,"adrenalgland,placenta,testis,ovary"
MTF1,MCAT,Activation,15378601,UNIPROT,liver
TWIST2,AKR1C2,Activation,19051271,UNIPROT,stomach
TWIST1,AKR1C2,Activation,19051271,UNIPROT,stomach
GATA6,CYP11A1,Activation,15284005,UNIPROT,ovary
FOXL2,CYP11A1,Repression,21862621,UNIPROT,ovary
NR5A2,CYP11B1,Activation,11564608,UNIPROT,"adrenalgland,pancreas,liver"
NR5A1,CYP11B2,Repression,21169726,UNIPROT,adrenalgland
APEX1,CYP11B2,Repression,22652909,UNIPROT,adrenalgland
GATA6,CYP17A1,Activation,15284005,UNIPROT,"liver,ovary"
EGR1,HSD11B2,Repression,15659537,UNIPROT,colon
NR5A2,CYP19A1,Activation,19022561,UNIPROT,uterus
FOXL2,CYP19A1,Repression,21862621,UNIPROT,ovary
NR5A1,CYP19A1,Activation,19022561,UNIPROT,uterus
FOS,CYP19A1,Activation,19022561,UNIPROT,uterus
JUN,CYP19A1,Activation,19022561,UNIPROT,uterus
CREB1,CYP19A1,Activation,15955695,UNIPROT,mammarygland
ESRRA,CYP19A1,Activation,15955695,UNIPROT,mammarygland
FOXO,GK,Repression,18805788,SIGNOR,liver
FOXO1,GK,Repression,18805788,UNIPROT,liver
HNF4A,GK,Activation,18805788,UNIPROT,liver
TFEB,MOGAT2,Activation,30145926,UNIPROT,"kidney,uterus"
TFEB,ACOT2,Activation,33176151,UNIPROT,uterus
SREBF1,ELOVL6,Activation,18226595,UNIPROT,liver
PRKAA1,SCD,Repression,21478464,UNIPROT,liver
