TF,TargetGene,Effect,PMID,DATABASEA,Tissue
RELA,HSD11B2,Activation,15659537,Trrust,colon
SP1,HSD11B2,Unknown,17551100,Trrust,colon
RARA,HSD17B2,Activation,18270252,Trrust,uterus
RARA,HSD17B2,Unknown,17538076,Trrust,placenta
RXRA,HSD17B2,Activation,18270252,Trrust,uterus
RXRA,HSD17B2,Unknown,17538076,Trrust,placenta
SP1,HSD17B2,Activation,16807381;18270252,Trrust,"placenta,uterus"
SP1,HSD17B2,Repression,18270252,Trrust,placenta
SP2,HSD17B2,Repression,18270252,Trrust,uterus
SP3,HSD17B2,Activation,16807381;18270252,Trrust,uterus
HSF1,HSD17B6,Repression,16278218,Trrust,uterus
BRCA1,CYP19A1,Activation,21087664,Trrust,"mammarygland,liver,ovary"
CEBPB,CYP19A1,Repression,11994385,Trrust,uterus
CEBPD,CYP19A1,Repression,11994385,Trrust,uterus
CREB1,CYP19A1,Activation,15955695;16740737,Trrust,mammarygland
ESR1,CYP19A1,Activation,12839940,Trrust,mammarygland
ESRRA,CYP19A1,Activation,15955695;20351196;23340254,Trrust,"mammarygland,prostate"
JUN,CYP19A1,Repression,16810058,Trrust,ovary
NFKB1,CYP19A1,Repression,15459115,Trrust,ovary
NR2F1,CYP19A1,Unknown,11973645,Trrust,mammarygland
NR2F6,CYP19A1,Unknown,11973645,Trrust,mammarygland
NR3C1,CYP19A1,Activation,16740737,Trrust,mammarygland
NR5A1,CYP19A1,Activation,12213901;21087664,Trrust,"mammarygland,liver,uterus,ovary"
PGR,CYP19A1,Repression,18483177,Trrust,mammarygland
RARG,CYP19A1,Unknown,11973645,Trrust,mammarygland
RELA,CYP19A1,Repression,15459115;18519709,Trrust,ovary
SP1,CYP19A1,Unknown,15072557,Trrust,bone
STAT3,CYP19A1,Unknown,15072557,Trrust,bone
USF1,CYP19A1,Repression,12917334,Trrust,placenta
USF2,CYP19A1,Repression,12917334,Trrust,placenta
WT1,CYP19A1,Repression,12213901,Trrust,uterus
NFKB1,LIPE,Activation,17272828,Trrust,adiposetissue
PPARG,LIPE,Activation,16269451,Trrust,"liver,adiposetissue,skeletalmuscle"
RELA,LIPE,Activation,17272828,Trrust,adiposetissue
NFYA,LPIN1,Unknown,19553673,Trrust,"skeletalmuscle,liver,adiposetissue"
NFYB,LPIN1,Unknown,19553673,Trrust,"skeletalmuscle,liver,adiposetissue"
NFYC,LPIN1,Unknown,19553673,Trrust,"skeletalmuscle,liver,adiposetissue"
SREBF1,LPIN1,Unknown,19553673,Trrust,"skeletalmuscle,liver,adiposetissue"
SREBF2,ACOT7,Activation,16335799,Trrust,cns
RARA,SCD,Activation,11397803,Trrust,sensory
SREBF1,SCD,Unknown,11414710,Trrust,liver
