TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
GATA2,AKR1C1,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq",,,
ROSI,AKR1C1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2",,,
JUND,AKR1C1,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells",,,
FOS,AKR1C1,mammarygland,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
IFNG,AKR1C1,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, MYC IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 6 h",,,
STAT3,AKR1C1,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 2",,,
4HT,AKR1C1,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 12 h",,,
NFYA,AKR1C1,uterus,NFYA IP - HeLa cells,,,
FOXA1,AKR1C1,liver,"FOXA1 IP - HepG2 cells, Rep 2, FOXA1 IP - HepG2 cells, Rep 1",,,
TCF21,AKR1C1,vasculature,"TCF21 IP, TCF21 IP, TCF21 IP",,,
JUND,AKR1C1,lung,JUND IP - A549 cells,,,
SP1,AKR1C1,lung,SP1 IP - A549 cells,,,
HEY1,AKR1C1,leukocytes,HEY1 IP - K562 cells,,,
NFYB,AKR1C1,uterus,NFYB IP - HeLa cells,,,
FOS,AKR1C1,leukocytes,FOS IP - K562 cells,,,
CEBPB,AKR1C1,uterus,CEBPB ChIP-Seq - HeLaS3,,,
JUND,AKR1C1,vasculature,JUND IP,,,
FOXA1,AKR1C1,pancreas,"FOXA1 IP, FOXA1 IP | KLF5 KO, FOXA1 IP",,,
MAFK,AKR1C1,lung,MAFK IP - IMR cells,,,
GATA1,AKR1C1,hspcs,"GATA1 IP - PBDE cells, Rep 1",,,
BACH1,AKR1C1,leukocytes,BACH1 IP - K562 cells,,,
SP1,AKR1C1,liver,SP1 IP - HepG2 cells,,,
CREB1,AKR1C1,liver,"CREB1 IP, CREB1 IP - HepG2 cells, CREB1 IP",,,
FORSK,AKR1C1,liver,CEBPB IP | FORSK - HepG2 cells,,,
MAFK,AKR1C1,leukocytes,MAFK IP - K562 cells,,,
MYC,AKR1C1,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells",,,
REST,AKR1C1,liver,"REST IP - HepG2 cells, Rep 1",,,
FOXA1,AKR1C1,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells",,,
DEX,AKR1C1,lung,"FOXA1 IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells",,,
GATA3,AKR1C1,lung,GATA3 IP - A549 cells,,,
MAFF,AKR1C1,liver,MAFF IP - HepG2 cells,,,
MXI1,AKR1C1,liver,MXI1 IP - HepG2 cells,,,
CREB1,AKR1C1,lung,CREB1 IP | DEX - A549 cells,,,
TBP,AKR1C1,leukocytes,TBP IP - K562 cells,,,
ATF3,AKR1C1,lung,ATF3 IP - A549 cells,,,
GATA2,AKR1C1,leukocytes,"GATA2 IP - K562 cells, GATA2 IP - K562 cells",,,
GATA1,AKR1C1,leukocytes,GATA1 ChIP-Seq - SC266,,,
ELF1,AKR1C1,liver,ELF1 IP - HepG2 cells,,,
ELF1,AKR1C1,lung,ELF1 IP - A549 cells,,,
