Database,TF,TargetGene,Tissue,Experiment
SPP,GATA3,ALOXE3,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells, GATA3 IP - MCF-7 cells"
SPP,NFKB1,ALOXE3,leukocytes,NFKB1 IP - Rep 2
SPP,MAX,ALOXE3,leukocytes,"MAX IP - K562 cells, Rep 2, MAX IP - K562 cells, MAX IP - NB4 cells"
SPP,MYC,ALOXE3,bone,"MYC IP, MYC IP"
SPP,CTCF,ALOXE3,uterus,"CTCF IP - HeLa cells , CTCF IP - HeLa cells, Rep 1 , CTCF IP - ECC1 cells"
SPP,MXI1,ALOXE3,leukocytes,"MXI1 IP - K562 cells, MXI1 IP - GM12878 cells"
SPP,TEAD4,ALOXE3,colon,TEAD4 IP - HCT116 cells
SPP,E2F1,ALOXE3,mammarygland,E2F1 IP - MCF7 cells
SPP,MAZ,ALOXE3,uterus,MAZ IP - HeLa cells
SPP,MAZ,ALOXE3,leukocytes,"MAZ IP - GM12878 cells, MAZ IP - K562 cells"
SPP,JUND,ALOXE3,cns,"JUND IP - SK-N-SH cells, JUND IP - SK-N-SH cells "
SPP,17BE2,ALOXE3,mammarygland,"FOS IP | 17BE2, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2"
SPP,CUX1,ALOXE3,leukocytes,"CUX1 IP - GM12878 cells, CUX1 IP - K562 cells"
SPP,FOS,ALOXE3,vasculature,FOS IP - HUVEC cells
SPP,TEAD4,ALOXE3,liver,"TEAD4 IP - MCF7 cells, TEAD4 IP - HepG2 cells"
SPP,ZBTB7A,ALOXE3,leukocytes,ZBTB7A IP - SK-N-SH cells
SPP,PBX3,ALOXE3,lung,PBX3 IP - A549 cells
SPP,TBP,ALOXE3,uterus,TBP IP - HeLa cells
SPP,SP1,ALOXE3,colon,SP1 IP - HCT116 cells
SPP,ATF2,ALOXE3,stemcells,ATF2 IP - H1 cells
SPP,USF1,ALOXE3,stemcells,USF1 IP - H1 cells
SPP,ZNF384,ALOXE3,leukocytes,"ZNF384 IP - K562 cells, ZNF384 IP - GM12878 cells"
SPP,FOXM1,ALOXE3,leukocytes,FOXM1 IP - GM12878 cells
SPP,USF1,ALOXE3,cns,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
SPP,ATRA,ALOXE3,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
SPP,FOXA1,ALOXE3,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
SPP,CTCF,ALOXE3,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0"
