TF,TargetGene,Tissue,chea,signor,trrust,Experiment
MYC,ACAA2,uterus,,,,MYC IP - HeLa cells
TP53,ACAA2,lung,,,,"TP53 IP - propapoptic, Rep 1"
ATF2,ACAA2,leukocytes,,,,ATF2 IP - GM12878 cells
MAX,ACAA2,cns,,,,MAX IP - SK-N-SH cells
H9RET,ACAA2,leukocytes,,,,"STAT5B IP | H9RET, Rep 2, STAT5B IP | H9RET, Rep 2"
STAT5A,ACAA2,leukocytes,,,,STAT5A IP - GM12878 cells
MAFK,ACAA2,uterus,,,,MAFK IP - HeLa cells
MAX,ACAA2,stemcells,,,,MAX IP - H1 cells
TCF21,ACAA2,vasculature,,,,"TCF21 IP, TCF21 IP"
REST,ACAA2,cns,,,,"REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells, REST IP - PFSK-N-SH cells1 cells, Rep 1"
MAX,ACAA2,colon,,,,MAX IP - HCT116 cells
TCF3,ACAA2,leukocytes,,,,TCF3 IP - GM12878 cells
JUND,ACAA2,liver,,,,JUND IP - HepG2 cells
JUND,ACAA2,leukocytes,,,,JUND IP - K562 cells
FOXA1,ACAA2,liver,,,,"FOXA1 IP - HepG2 cells, Rep 1"
FOSL1,ACAA2,colon,,,,FOSL1 IP - HCT116 cells
MEF2A,ACAA2,leukocytes,,,,MEF2A IP - GM12878 cells
ELF3,ACAA2,pancreas,,,,ELF3 IP
ZBTB7A,ACAA2,uterus,,,,ZBTB7A IP - ECC1 cells
E2F4,ACAA2,mammarygland,,,,E2F4 IP | 4HT - MCF10 cells
MAFK,ACAA2,leukocytes,,,,"MAFK IP - K562 cells, MAFK IP - GM12878 cells"
KLF5,ACAA2,stomach,,,,KLF5 IP - KATOIII
ZBTB17,ACAA2,bone,,,,"ZBTB17 IP, ZBTB17 IP"
FOS,ACAA2,mammarygland,,,,"FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h"
GABPA,ACAA2,prostate,,,,"GABPA IP | R1881, GABPA IP - Rep 1"
HMGN3,ACAA2,leukocytes,,,,HMGN3 IP - K562 cells
CEBPB,ACAA2,leukocytes,,,,"CEBPB IP - K562 cells, CEBPB IP, CEBPB ChIP-Seq - K562"
CEBPB,ACAA2,lung,,,,CEBPB ChIP-Seq - IMR90
SRF,ACAA2,uterus,,,,SRF IP - ECC1 cells
DHT,ACAA2,mammarygland,,,,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
IRF1,ACAA2,colon,,,,IRF1 IP 
RELA,ACAA2,leukocytes,,,,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM18505 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM12891 cells"
TNF,ACAA2,leukocytes,,,,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM18505 cells, RELA IP | TNF - GM12891 cells"
GATA3,ACAA2,cns,,,,GATA3 IP - SK-N-SH cells
NFYB,ACAA2,leukocytes,,,,NFYB IP - GM12878 cells
MAX,ACAA2,uterus,,,,"MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells"
SP1,ACAA2,leukocytes,,,,SP1 IP - GM12878 cells
FOXA2,ACAA2,embryonictissue,,,,FOXA2 IP - Rep 2
EBF1,ACAA2,leukocytes,,,,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells"
E2F6,ACAA2,leukocytes,,,,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
MAFF,ACAA2,liver,,,,MAFF IP - HepG2 cells
E2F1,ACAA2,mammarygland,,,,"E2F1 IP - MCF7 cells, E2F1 IP"
KLF5,ACAA2,pancreas,,,,KLF5 IP
YY1,ACAA2,liver,,,,YY1 IP - HepG2 cells
PIAS1,ACAA2,prostate,,,,PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2
PAX5,ACAA2,leukocytes,,,,"PAX5 IP - GM12878 cells, Rep 2"
CREB1,ACAA2,leukocytes,,,,CREB1 IP - GM12878 cells
ETV5,ACAA2,colon,,,,ETV5 IP 
REST,ACAA2,stemcells,,,,"REST IP - H1 cells, Rep 1"
MAFK,ACAA2,colon,,,,MAFK IP 
MYC,ACAA2,leukocytes,,,,"MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1"
GABPA,ACAA2,leukocytes,,,,"GABPA IP - Jurkat, Rep 2"
ATRA,ACAA2,cns,,,,YY1 IP | ATRA - SK-N-SH cells
FOXA2,ACAA2,liver,,,,FOXA2 IP - HepG2 cells
TCF12,ACAA2,lung,,,,TCF12 IP - A549 cells
JUND,ACAA2,colon,,,,JUND IP - HCT116 cells
CREB1,ACAA2,prostate,,,,"CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1"
E2F6,ACAA2,stemcells,,,,E2F6 IP - H1 cells
KLF11,ACAA2,adiposetissue,,,,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
ROSI,ACAA2,adiposetissue,,,,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
TAL1,ACAA2,leukocytes,,,,TAL1 IP - MOLT3
GATA2,ACAA2,hspcs,,,,GATA2 IP
POU2F2,ACAA2,leukocytes,,,,POU2F2 IP - GM12878 cells
TAL1,ACAA2,colon,,,,TAL1 IP 
MAX,ACAA2,lung,,,,MAX IP - A549 cells
EGR1,ACAA2,liver,,,,EGR1 IP - MCF7 cells
CEBPB,ACAA2,uterus,,,,CEBPB ChIP-Seq - HeLaS3
EGR1,ACAA2,stemcells,,,,EGR1 IP - H1 cells
MXI1,ACAA2,liver,,,,MXI1 IP - HepG2 cells
PBX3,ACAA2,leukocytes,,,,PBX3 IP - GM12878 cells
ZBTB7A,ACAA2,leukocytes,,,,ZBTB7A IP - SK-N-SH cells
CREB1,ACAA2,stemcells,,,,CREB1 IP - H1 cells
