TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
4HT,AACS,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 36 h, FOS IP | 4HT - MCF10A cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
CTCF,AACS,sensory,"CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2 ",,,
CEBPB,AACS,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP",,,
FOS,AACS,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
CEBPB,AACS,liver,"CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells",,,
MYB,AACS,leukocytes,"MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 2",,,
MAX,AACS,cns,MAX IP - SK-N-SH cells,,,
KLF11,AACS,adiposetissue,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, KLF11 ChIP-Seq, Rep 1",,,
FOXA1,AACS,pancreas,"FOXA1 IP, FOXA1 IP",,,
EGR1,AACS,colon,EGR1 IP - HCT116 cells,,,
ERG,AACS,prostate,"DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 2 h",,,
DHT,AACS,prostate,"DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, DHT | FOXA1 ChIP-Seq",,,
ROSI,AACS,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1",,,
CTCF,AACS,liver,"CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells , CTCF IP",,,
YY1,AACS,lung,YY1 IP - A549 cells,,,
YY1,AACS,colon,YY1 IP - HCT116 cells,,,
JUN,AACS,colon,JUN IP ,,,
MAX,AACS,liver,"MAX IP - HepG2 cells, MAX IP - MCF7 cells",,,
MAX,AACS,stemcells,MAX IP - H1 cells,,,
TCF12,AACS,lung,TCF12 IP - A549 cells,,,
GTF2B,AACS,uterus,GTF2B IP - Rep 2,,,
