TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
SPI1,ACAA1,leukocytes,"SPI1 IP, ROSI | SPI1 ChIP-Seq, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP - HL-60 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP - U-937 cells, Rep 10 , SPI1 IP - HL-60 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP, SPI1 IP - U-937 cells, Rep 8 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12891 cells, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP, SPI1 IP, SPI1 IP - HL-60 cells, Rep 2 , SPI1 IP - HL-60 cells, Rep 1 , SPI1 IP",,,
EGR1,ACAA1,colon,EGR1 IP - HCT116 cells,,,
ELF1,ACAA1,colon,ELF1 IP - HCT116 cells,,,
CREB1,ACAA1,stemcells,CREB1 IP - H1 cells,,,
REST,ACAA1,cns,"REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells, REST IP - SK-N-SH cells",,,
ROSI,ACAA1,leukocytes,ROSI | SPI1 ChIP-Seq,,,
NFYA,ACAA1,colon,NFYA IP ,,,
NFYB,ACAA1,uterus,NFYB IP - HeLa cells,,,
E2F6,ACAA1,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells",,,
NFYB,ACAA1,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells",,,
IRF1,ACAA1,leukocytes,"IRF1 IP - Rep 1, IRF1 IP - Rep 3, IRF1 IP - Rep 2, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNA1-13 - K562 cells, 6 h",,,
