TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
JUND,CPT1A,leukocytes,JUND IP - K562 cells,,,
STAT3,CPT1A,leukocytes,"STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-6, STAT3 IP - SU-DHL-2, STAT3 IP - U-2932",,,
SPI1,CPT1A,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - HL cells, SPI1 IP",,,
SMAD1,CPT1A,hspcs,SMAD1 IP - Rep 3,,,
ELF3,CPT1A,pancreas,"ELF3 IP | KLF5 KO, ELF3 IP, ELF3 IP",,,
KLF5,CPT1A,pancreas,"ELF3 IP | KLF5 KO, KLF5 IP",,,
FOXA2,CPT1A,stemcells,"FOXA2 IP - ES D5, FOXA2 IP - ES D7, FOXA2 IP - Rep 5 , FOXA2 IP - ES D10",,,
E2F1,CPT1A,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1",,,
TCF7L2,CPT1A,mammarygland,TCF7L2 ChIP-Seq,,,
DHT,CPT1A,prostate,"DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, DHT | FOXA1 ChIP-Seq, DHT | FOXP1 ChIP-Seq",,,
CTCF,CPT1A,sensory,"CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2 ",,,
MAX,CPT1A,uterus,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1, MAX IP - ECC1 cells",,,
MYC,CPT1A,leukocytes,"MYC IP - NB4 cells, MYC IP - K562 cells, Rep 1, MYC IP | IFNG - K562 cells, 30 min",,,
MXI1,CPT1A,uterus,MXI1 IP - HeLa cells,,,
