TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
SRF,LIPE,stemcells,"SRF IP - Rep 7 , SRF IP - Rep 6 , SRF IP - Rep 5 , SRF IP - Rep 4 , SRF IP - Rep 1 , SRF IP - Rep 2 , SRF IP - Rep 3 ",,,
CEBPA,LIPE,leukocytes,"CEBPA IP - U-937 cells, Rep 2 ",,,
MXI1,LIPE,liver,MXI1 IP - HepG2 cells,,,
JUND,LIPE,stemcells,"JUND IP - H1 cells, JUND IP - H1 cells",,,
CREB1,LIPE,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP",,,
CEBPB,LIPE,liver,"CEBPB ChIP-Seq - HepG2, CEBPB IP - HepG2 cells, CEBPB IP | FORSK - HepG2 cells",,,
CTCF,LIPE,colon,"CTCF IP - Rep 2 , CTCF IP - Caco , CTCF IP - Rep 1 , CTCF IP - HCT116 cells, CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 2 , CTCF IP - Caco-2 cells, Rep 1 ",,,
JUND,LIPE,lung,JUND IP - A549 cells,,,
CEBPB,LIPE,mammarygland,CEBPB IP - MCF7 cells,,,
ELF1,LIPE,leukocytes,"ELF1 IP - SK-N-SH cells, ELF1 IP - SK-N-SH cells",,,
RUNX1,LIPE,hspcs,RUNX1,,,
ETS1,LIPE,lung,ETS1 IP - A549 cells,,,
EBF1,LIPE,leukocytes,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells",,,
ATF3,LIPE,leukocytes,"ATF3 IP - GM12878 cells, ATF3 IP - K562 cells",,,
GTF2F1,LIPE,uterus,GTF2F1 IP - HeLa cells,,,
ZNF143,LIPE,stemcells,ZNF143 IP - H1 cells,,,
ATF3,LIPE,lung,ATF3 IP - A549 cells,,,
PIAS1,LIPE,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1",,,
SIX5,LIPE,leukocytes,SIX5 IP - GM12878 cells,,,
FOXA2,LIPE,liver,FOXA2 IP - HepG2 cells,,,
POU2F2,LIPE,leukocytes,POU2F2 IP - GM12878 cells,,,
RELA,LIPE,adiposetissue,"RELA IP, RELA IP, RELA IP, RELA IP",,,17272828
NFYA,LIPE,uterus,NFYA IP - HeLa cells,,,
TP63,LIPE,skin,TP63 IP,,,
MXI1,LIPE,leukocytes,MXI1 IP - GM12878 cells,,,
