TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
SMAD1,B3GALNT1,hspcs,SMAD1 IP - Rep 3,,,
STAT3,B3GALNT1,leukocytes,STAT3 IP - U-2932,,,
CTCF,B3GALNT1,lung,"CTCF IP - AG04450 cells, Rep 1 , CTCF IP - SAEC cells, Rep 1 , CTCF IP - IMR cells, CTCF IP | DEX - A549 cells , CTCF IP - SAEC cells, Rep 2 , CTCF IP - AG04450 cells, Rep 2 , CTCF IP - A549 cells , CTCF ChIP-Seq - A549, CTCF IP - A549 cells, Rep 1 , CTCF IP - A549 cells, CTCF IP - A549 cells, Rep 2 , CTCF IP | DEX - A549 cells, CTCF IP - HPF cells, Rep 1 ",,,
SP1,B3GALNT1,colon,SP1 IP - HCT116 cells,,,
CTCF,B3GALNT1,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 ",,,
CEBPB,B3GALNT1,mammarygland,CEBPB IP - MCF7 cells,,,
FOXA1,B3GALNT1,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 2, FOXA1 IP | 17BE2 - MCF-7, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq, FOXA1 IP - T47D cells",,,
17BE2,B3GALNT1,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | GATA3 ChIP-Seq, FOS IP | 17BE2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq, FOXA1 IP | 17BE2 - MCF-7",,,
USF1,B3GALNT1,liver,USF1 IP - HepG2 cells,,,
CREB1,B3GALNT1,stemcells,CREB1 IP - H1 cells,,,
FOXM1,B3GALNT1,mammarygland,FOXM1 IP - MCF7 cells,,,
CTCF,B3GALNT1,mammarygland,"CTCF IP - HMF cells, Rep 2 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - T47D cells, CTCF IP - HMEC cells , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 1 , CTCF IP - HMEC cells, Rep 2 , CTCF IP - HMEC cells, Rep 1 , CTCF IP - MCF7 cells",,,
CTCF,B3GALNT1,sensory,"CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 2 ",,,
CTCF,B3GALNT1,vasculature,"CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HBMEC cells, Rep 2 ",,,
OTX2,B3GALNT1,stemcells,OTX2 IP - Rep 10 ,,,
SPI1,B3GALNT1,leukocytes,"SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP",,,
TCF7L2,B3GALNT1,mammarygland,TCF7L2 ChIP-Seq,,,
STAT5B,B3GALNT1,leukocytes,"STAT5B IP | H9, Rep 2, STAT5B IP | IL2 - Rep 2, STAT5B IP | IL2 - Rep 2",,,
H9,B3GALNT1,leukocytes,"STAT5B IP | H9, Rep 2",,,
CTCF,B3GALNT1,colon,"CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 2 , CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - Rep 1 , CTCF IP - Caco , CTCF IP - HCT116 cells",,,
FOS,B3GALNT1,mammarygland,"FOS IP - MCF10A cells, FOS IP | 17BE2, FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
CTCF,B3GALNT1,stemcells,"CTCF IP - Rep 5 , CTCF IP - H1 cells, CTCF IP - Rep 2 , CTCF IP - Rep 4 , CTCF IP - Rep 7 , CTCF IP - H1 cells , CTCF IP - Rep 6 ",,,
DEX,B3GALNT1,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2",,,
IL2,B3GALNT1,leukocytes,"STAT5B IP | IL2 - Rep 2, STAT5B IP | IL2 - Rep 2",,,
GATA3,B3GALNT1,mammarygland,"GATA3 IP - MCF7 cells, 17BE2 | GATA3 ChIP-Seq, GATA3 IP - MCF-7 cells, GATA3 IP - T47D cells",24758297,,
TP53,B3GALNT1,bone,TP53 IP - Rep 2,,,
FOXA2,B3GALNT1,stemcells,"FOXA2 IP - ES D7, FOXA2 IP - ES D2, FOXA2 IP - ES D10, FOXA2 IP - ES D5",,,
GABPA,B3GALNT1,prostate,GABPA IP | R1881,,,
CTCF,B3GALNT1,heart,"CTCF IP - myocytes cells, Rep 2 , CTCF IP - myocytes cells, Rep 1 ",,,
