TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
HEY1,ACOT1,liver,HEY1 IP - HepG2 cells,,,
YY1,ACOT1,colon,YY1 IP - HCT116 cells,,,
MXI1,ACOT1,liver,MXI1 IP - HepG2 cells,,,
E2F1,ACOT1,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3",,,
HES6,ACOT1,prostate,"HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3",,,
SP1,ACOT1,lung,SP1 IP - A549 cells,,,
TAL1,ACOT1,colon,TAL1 IP ,,,
DEX,ACOT1,lung,"CTCF IP | DEX - A549 cells, CTCF IP | DEX - A549 cells ",,,
CEBPB,ACOT1,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells",,,
REST,ACOT1,liver,"REST IP - HepG2 cells, Rep 1",,,
ZEB1,ACOT1,leukocytes,ZEB1 IP - GM12878 cells,,,
GTF2F1,ACOT1,uterus,GTF2F1 IP - HeLa cells,,,
TCF12,ACOT1,leukocytes,TCF12 IP - GM12878 cells,,,
SMARCC1,ACOT1,uterus,SMARCC1 IP - HeLa cells,,,
MAX,ACOT1,uterus,"MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1",,,
ATF3,ACOT1,colon,"ATF3 IP | CAMPTO, ATF3 IP - HCT116 cells, ATF3 IP",,,
FOXA1,ACOT1,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2",,,
MAX,ACOT1,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells",,,
SRF,ACOT1,liver,SRF IP - HepG2 cells,,,
125DVD3,ACOT1,colon,CEBPB IP | 125DVD3,,,
BICALU,ACOT1,prostate,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 3",,,
MYC,ACOT1,leukocytes,MYC IP - NB4 cells,,,
JUN,ACOT1,vasculature,"JUN IP, JUN IP - HUVEC cells",,,
SRF,ACOT1,stemcells,"SRF IP - Rep 1 , SRF IP - Rep 2 , SRF IP - Rep 7 , SRF IP - Rep 6 , SRF IP - Rep 5 , SRF IP - Rep 4 ",,,
FOSL2,ACOT1,lung,FOSL2 IP - A549 cells,,,
CTCF,ACOT1,sensory,"CTCF IP - WERI-Rb-1- cells, Rep 1 , CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI , CTCF IP - HRPEpiC cells, Rep 2 ",,,
JUND,ACOT1,lung,JUND IP - A549 cells,,,
FOSL2,ACOT1,liver,FOSL2 IP - HepG2 cells,,,
MAX,ACOT1,colon,MAX IP - HCT116 cells,,,
PAX5,ACOT1,leukocytes,"PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1",,,
CEBPB,ACOT1,bone,CEBPB IP,,,
ZNF143,ACOT1,stemcells,ZNF143 IP - H1 cells,,,
ZNF143,ACOT1,leukocytes,"ZNF143 IP - K562 cells, ZNF143 IP - GM12878 cells",,,
BATF,ACOT1,leukocytes,BATF IP - GM12878 cells,,,
MTA3,ACOT1,leukocytes,MTA3 IP - GM12878 cells,,,
ZNF143,ACOT1,uterus,ZNF143 IP - HeLa cells,,,
GABPA,ACOT1,liver,GABPA IP - HepG2 cells,,,
TBP,ACOT1,uterus,TBP IP - HeLa cells,,,
GATA1,ACOT1,hspcs,"GATA1 IP - Rep 1, GATA1 IP - PBDE cells, Rep 1",,,
USF2,ACOT1,uterus,USF2 IP - HeLa cells,,,
GATA3,ACOT1,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells",,,
TCF21,ACOT1,vasculature,TCF21 IP,,,
CEBPB,ACOT1,uterus,CEBPB ChIP-Seq - HeLaS3,,,
MYC,ACOT1,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells, DHT | MYC ChIP-Seq",,,
ELF1,ACOT1,leukocytes,ELF1 IP - SK-N-SH cells,,,
CTCF,ACOT1,placenta,"CTCF IP - HVMF cells, Rep 1 , CTCF IP - HVMF cells, Rep 2 ",,,
MYC,ACOT1,liver,MYC IP,,,
MYBL2,ACOT1,liver,MYBL2 IP - HepG2 cells,,,
JUND,ACOT1,mammarygland,JUND IP - T47D cells,,,
ARID3A,ACOT1,liver,ARID3A IP - HepG2 cells,,,
TEAD4,ACOT1,stemcells,TEAD4 IP - H1 cells,,,
USF1,ACOT1,colon,USF1 IP - HCT116 cells,,,
BHLHE40,ACOT1,liver,BHLHE40 IP - HepG2 cells,,,
CTCF,ACOT1,stemcells,"CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 2 , CTCF IP - Rep 4 , CTCF IP - Rep 6 , CTCF IP - Rep 1 , CTCF IP - Rep 7 , CTCF IP - Rep 5 ",,,
TCF3,ACOT1,leukocytes,TCF3 IP - GM12878 cells,,,
SMAD1,ACOT1,hspcs,SMAD1 IP - Rep 3,,,
SP1,ACOT1,liver,SP1 IP - HepG2 cells,,,
MAX,ACOT1,stemcells,MAX IP - H1 cells,,,
RELA,ACOT1,adiposetissue,"RELA IP, RELA IP, RELA IP",,,
E2F6,ACOT1,stemcells,E2F6 IP - H1 cells,,,
GATA3,ACOT1,cns,GATA3 IP - SK-N-SH cells,,,
EGR1,ACOT1,colon,EGR1 IP - HCT116 cells,,,
YY1,ACOT1,liver,YY1 IP - HepG2 cells,,,
CTCF,ACOT1,adiposetissue,"CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d 0",,,
FOSL2,ACOT1,mammarygland,FOSL2 IP - MCF7 cells,,,
E2F1,ACOT1,mammarygland,E2F1 IP,,,
JUND,ACOT1,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells",,,
USF1,ACOT1,stemcells,USF1 IP - H1 cells,,,
USF1,ACOT1,cns,USF1 IP | ATRA - SK-N-SH cells,,,
ATRA,ACOT1,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells",,,
SP1,ACOT1,stemcells,SP1 IP - H1 cells,,,
MYC,ACOT1,uterus,MYC IP - HeLa cells,,,
CREB1,ACOT1,leukocytes,CREB1 IP - GM12878 cells,,,
ZEB1,ACOT1,liver,ZEB1 IP - HepG2 cells,,,
JUN,ACOT1,colon,JUN IP ,,,
E2F6,ACOT1,uterus,E2F6 IP - HeLa cells,,,
E2F3,ACOT1,colon,E2F3 IP ,,,
FOXA2,ACOT1,lung,FOXA2 IP - A549 cells,,,
TBP,ACOT1,liver,TBP IP - HepG2 cells,,,
YY1,ACOT1,lung,YY1 IP - A549 cells,,,
E2F6,ACOT1,lung,E2F6 IP - A549 cells,,,
TP53,ACOT1,mammarygland,"TP53 IP, TP53 IP | NUTL3 - MCF-7",,,
RELA,ACOT1,lung,RELA IP | TNF,,,
TNF,ACOT1,lung,RELA IP | TNF,,,
SP1,ACOT1,colon,SP1 IP - HCT116 cells,,,
HOXA4,ACOT1,colon,HOXA4 IP ,,,
FOXA1,ACOT1,prostate,FOXA1 KD |Â GATA2 ChIP-Seq,,,
FOS,ACOT1,vasculature,FOS IP - HUVEC cells,,,
JUND,ACOT1,uterus,JUND IP - HeLa cells,,,
JUN,ACOT1,uterus,JUN IP - HeLa cells,,,
TP53,ACOT1,bone,TP53 IP,,,
EGR1,ACOT1,liver,EGR1 IP - MCF7 cells,,,
CPDA,ACOT1,mammarygland,JUN IP | CPDA,,,
GATA4,ACOT1,stomach,GATA4 IP - AGS,,,
SREBF1,ACOT1,liver,SREBF1 IP | INS + 22RHC - HepG2 cells,,,
22RHC; INS,ACOT1,liver,SREBF1 IP | INS + 22RHC - HepG2 cells,,,
STAT1,ACOT1,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
IFNG,ACOT1,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
HIF1A,ACOT1,bone,HIF1A IP,,,
ATF2,ACOT1,colon,ATF2 IP ,,,
ZBTB7A,ACOT1,liver,ZBTB7A IP - HepG2 cells,,,
E2F4,ACOT1,uterus,E2F4 IP - HeLa cells,,,
EGR1,ACOT1,leukocytes,EGR1 IP - K562 cells,,,
RBPJ,ACOT1,leukocytes,RBPJ IP | COMPE,,,
COMPE,ACOT1,leukocytes,RBPJ IP | COMPE,,,
EGR1,ACOT1,stemcells,EGR1 IP - H1 cells,,,
JUND,ACOT1,vasculature,JUND IP,,,
HOXA6,ACOT1,colon,HOXA6 IP ,,,
EBF1,ACOT1,leukocytes,EBF1 IP - GM12878 cells,,,
FORSK,ACOT1,liver,CEBPB IP | FORSK - HepG2 cells,,,
JUND,ACOT1,colon,JUND IP - HCT116 cells,,,
REST,ACOT1,cns,REST IP - U87 cells,,,
MAX,ACOT1,lung,MAX IP - A549 cells,,,
REST,ACOT1,lung,REST IP - A549 cells,,,
IRF4,ACOT1,leukocytes,IRF4 IP - GM12878 cells,,,
FOSL1,ACOT1,colon,FOSL1 IP - HCT116 cells,,,
YY1,ACOT1,cns,YY1 IP | ATRA - SK-N-SH cells,,,
CTCF,ACOT2,skin,"CTCF IP - AG09309 cells, Rep 2 , CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHEK cells ",,,
CTCF,ACOT2,stemcells,"CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 2 , CTCF IP - Rep 4 , CTCF IP - Rep 5 , CTCF IP - Rep 6 , CTCF IP - Rep 1 , CTCF IP - Rep 7 , CTCF IP - Rep 3 ",,,
HIF1A,ACOT2,bone,HIF1A IP,,,
ERG,ACOT2,prostate,"DHT | ERG ChIP-Seq - 18 h, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 2 h",,,
