Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
88,88,88,SPP,DEX,ELOVL5,lung,"CREB1 IP | DEX - A549 cells, USF1 IP | DEX - A549 cells"
89,89,89,SPP,YY1,ELOVL5,lung,YY1 IP - A549 cells
90,90,90,SPP,AR,ELOVL5,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq"
91,91,91,SPP,STAT3,ELOVL5,leukocytes,"STAT3 IP - SU-DHL-2, STAT3 IP - OCI-LY19, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7"
92,92,92,SPP,FOS,ELOVL5,vasculature,FOS IP - HUVEC cells
93,93,93,SPP,ERG,ELOVL5,prostate,"ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h"
94,94,94,SPP,TP53,ELOVL5,lung,"TP53 IP - propapoptic, Rep 1"
95,95,95,SPP,SP1,ELOVL5,lung,SP1 IP - A549 cells
96,96,96,SPP,SOX2,ELOVL5,esophagus,SOX2 IP - KYSE-70
97,97,97,SPP,SRF,ELOVL5,colon,SRF IP - HCT116 cells
98,98,98,SPP,FOXA1,ELOVL5,stemcells,"FOXA1 IP - ES D10, FOXA1 IP - ES D7, FOXA1 IP - ES D5, FOXA1 IP - Rep 5 "
99,99,99,SPP,ZNF263,ELOVL5,kidney,ZNF263 IP - HEK293 cells
100,100,100,SPP,REST,ELOVL5,cns,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells"
101,101,101,SPP,USF1,ELOVL5,stemcells,USF1 IP - H1 cells
102,102,102,SPP,YY1,ELOVL5,colon,YY1 IP - HCT116 cells
103,103,103,SPP,GATA2,ELOVL5,hspcs,GATA2 IP
104,104,104,SPP,THAP1,ELOVL5,leukocytes,THAP1 IP - K562 cells
105,105,105,SPP,E2F4,ELOVL5,mammarygland,E2F4 IP | 4HT - MCF10 cells
106,106,106,SPP,CTCF,ELOVL5,erythroidlineage,"CTCF IP - Erythroid cells, Rep 2"
107,107,107,SPP,MXI1,ELOVL5,uterus,MXI1 IP - HeLa cells
108,108,108,SPP,USF1,ELOVL5,cns,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells"
109,109,109,SPP,ATRA,ELOVL5,cns,"USF1 IP | ATRA - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
110,110,110,SPP,YY1,ELOVL5,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
111,111,111,SPP,IRF4,ELOVL5,leukocytes,IRF4 IP
