Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
154,154,154,SPP,BHLHE40,SCD,liver,"BHLHE40 IP - SK-N-SH cells, BHLHE40 IP - HepG2 cells"
155,155,155,SPP,CTCF,SCD,bone,"CTCF IP, CTCF IP - Osteoblasts "
156,156,156,SPP,TBP,SCD,stemcells,TBP IP - H1 cells
157,157,157,SPP,HEY1,SCD,leukocytes,HEY1 IP - K562 cells
158,158,158,SPP,RBPJ,SCD,leukocytes,RBPJ IP | COMPE - wash
159,159,159,SPP,COMPE,SCD,leukocytes,RBPJ IP | COMPE - wash
160,160,160,SPP,FOXA1,SCD,stemcells,"FOXA1 IP - Rep 5 , FOXA1 IP - ES D10, FOXA1 IP - ES D5"
161,161,161,SPP,GATA3,SCD,lung,GATA3 IP - A549 cells
162,162,162,SPP,MAX,SCD,lung,MAX IP - A549 cells
163,163,163,SPP,TEAD4,SCD,stemcells,TEAD4 IP - H1 cells
164,164,164,SPP,SP1,SCD,leukocytes,SP1 IP - GM12878 cells
165,165,165,SPP,FOXA2,SCD,embryonictissue,"FOXA2 IP - Rep 2, FOXA2 IP - Rep 1"
166,166,166,SPP,E2F1,SCD,mammarygland,"E2F1 IP, E2F1 IP - MCF7 cells"
167,167,167,SPP,EGR1,SCD,colon,EGR1 IP - HCT116 cells
168,168,168,SPP,TEAD4,SCD,leukocytes,TEAD4 IP - K562 cells
169,169,169,SPP,REST,SCD,colon,REST IP - HCT116 cells
170,170,170,SPP,FOXA1,SCD,pancreas,"FOXA1 IP, FOXA1 IP, FOXA1 IP | KLF5 KO"
171,171,171,SPP,MAZ,SCD,liver,MAZ IP - HepG2 cells
172,172,172,SPP,E2F6,SCD,lung,E2F6 IP - A549 cells
173,173,173,SPP,MYC,SCD,lung,MYC IP - A549 cells
174,174,174,SPP,MAX,SCD,cns,MAX IP - SK-N-SH cells
175,175,175,SPP,NFYA,SCD,leukocytes,NFYA IP - K562 cells
176,176,176,SPP,CTCF,SCD,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 "
177,177,177,SPP,ETV5,SCD,colon,ETV5 IP 
178,178,178,SPP,ERG,SCD,leukocytes,ERG IP - Rep 1
179,179,179,SPP,CEBPB,SCD,uterus,CEBPB ChIP-Seq - HeLaS3
180,180,180,SPP,IRF1,SCD,colon,IRF1 IP 
181,181,181,SPP,CTCF,SCD,mammarygland,"CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - T47D cells, CTCF IP - MCF7 cells, CTCF IP - HMF cells, Rep 2 "
182,182,182,SPP,EBF1,SCD,adiposetissue,"EBF1 IP, EBF1 IP"
183,183,183,SPP,E2F4,SCD,mammarygland,E2F4 IP | 4HT - MCF10 cells
184,184,184,SPP,4HT,SCD,mammarygland,E2F4 IP | 4HT - MCF10 cells
185,185,185,SPP,TCF12,SCD,lung,TCF12 IP - A549 cells
186,186,186,SPP,MAX,SCD,vasculature,MAX IP - HUVEC cells
187,187,187,SPP,ZBTB7A,SCD,liver,ZBTB7A IP - HepG2 cells
188,188,188,SPP,FOXM1,SCD,mammarygland,FOXM1 IP | THSP - DS006
189,189,189,SPP,SOX2,SCD,stemcells,SOX2 IP
190,190,190,SPP,STAT3,SCD,uterus,STAT3 IP - HeLa cells
191,191,191,SPP,HMGN3,SCD,leukocytes,HMGN3 IP - K562 cells
192,192,192,SPP,CEBPB,SCD,liver,CEBPB ChIP-Seq - HepG2
193,193,193,SPP,TBP,SCD,uterus,TBP IP - HeLa cells
194,194,194,SPP,YY1,SCD,stemcells,YY1 IP - H1 cells
195,195,195,SPP,SRF,SCD,mammarygland,SRF IP - MCF7 cells
196,196,196,SPP,MXI1,SCD,cns,MXI1 IP - SK-N-SH cells 
197,197,197,SPP,MYBL2,SCD,liver,MYBL2 IP - HepG2 cells
198,198,198,SPP,ETS1,SCD,leukocytes,"ETS1 IP, ETS1 IP - K562 cells, ETS1 IP - GM12878 cells"
199,199,199,SPP,HEY1,SCD,liver,HEY1 IP - HepG2 cells
200,200,200,SPP,HOXA6,SCD,colon,HOXA6 IP 
201,201,201,SPP,SRF,SCD,uterus,SRF IP - ECC1 cells
202,202,202,SPP,ROSI,SCD,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
203,203,203,SPP,HOXA4,SCD,colon,HOXA4 IP 
204,204,204,SPP,E2F4,SCD,leukocytes,E2F4 IP - K562 cells
205,205,205,SPP,GATA3,SCD,mammarygland,GATA3 IP - T47D cells
206,206,206,SPP,PDX1,SCD,pancreas,PDX1 IP
207,207,207,SPP,BAY082,SCD,leukocytes,"RELA IP | BAY082  - IVD Th1 cells, PIA"
208,208,208,SPP,MXI1,SCD,uterus,MXI1 IP - HeLa cells
209,209,209,SPP,IKZF1,SCD,leukocytes,IKZF1 IP - GM12878 cells
210,210,210,SPP,JUND,SCD,leukocytes,JUND IP - K562 cells
211,211,211,SPP,SIX2,SCD,kidney,"SIX2 IP - 17 weeks, Rep 1"
212,212,212,SPP,YY1,SCD,uterus,YY1 IP - ECC1 cells
213,213,213,SPP,SRF,SCD,liver,SRF IP - HepG2 cells
214,214,214,SPP,17BE2; TNF,SCD,mammarygland,"17BE2 + TNF | FOXA1 ChIP-Seq - Rep 2, 17BE2 + TNF | FOXA1 ChIP-Seq - Rep 1"
215,215,215,SPP,NFKB1,SCD,leukocytes,NFKB1 IP - Rep 2
216,216,216,SPP,FOSL2,SCD,liver,FOSL2 IP - HepG2 cells
217,217,217,SPP,GATA6,SCD,stomach,"GATA6 IP - AGS, GATA6 IP - YCC3"
218,218,218,SPP,GABPA,SCD,liver,GABPA IP - HepG2 cells
219,219,219,SPP,TCF12,SCD,leukocytes,TCF12 IP - GM12878 cells
220,220,220,SPP,MXI1,SCD,stemcells,MXI1 IP - H1 cells
221,221,221,SPP,MXI1,SCD,lung,MXI1 IP - IMR cells
222,222,222,SPP,TP53,SCD,mammarygland,TP53 IP
223,223,223,SPP,SP1,SCD,colon,SP1 IP - HCT116 cells
224,224,224,SPP,CTCF,SCD,esophagus,"CTCF IP - HEEpiC cells, Rep 2 , CTCF IP - HEEpiC cells, Rep 1 "
225,225,225,SPP,E2F6,SCD,stemcells,E2F6 IP - H1 cells
226,226,226,SPP,RUNX1T1,SCD,leukocytes,RUNX1T1 IP
227,227,227,SPP,YY1,SCD,colon,YY1 IP - HCT116 cells
228,228,228,SPP,MAX,SCD,colon,MAX IP - HCT116 cells
229,229,229,SPP,FOXA2,SCD,lung,FOXA2 IP - A549 cells
230,230,230,SPP,CREB1,SCD,stemcells,CREB1 IP - H1 cells
231,231,231,SPP,EGR1,SCD,leukocytes,EGR1 IP - K562 cells
232,232,232,SPP,TBP,SCD,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
233,233,233,SPP,TCF7L2,SCD,uterus,TCF7L2 IP - HeLa cells
234,234,234,SPP,PAX5,SCD,leukocytes,"PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1"
235,235,235,SPP,ZNF263,SCD,kidney,ZNF263 IP - HEK293 cells
