Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
77,77,77,SPP,BANF1,ACSL1,skin,TP63 IP | BANF1 KD
78,78,78,SPP,CUX1,ACSL1,leukocytes,CUX1 IP - K562 cells
79,79,79,SPP,MAZ,ACSL1,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells"
80,80,80,SPP,GATA2,ACSL1,prostate,"FOXA1 KD | GATA2 ChIP-Seq, GATA2 ChIP-Seq, FOXA1 + FBS | GATA2 ChIP-Seq, CON KD | GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 2, CON KD + R1881 | GATA2 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD  | GATA2 ChIP-Seq, GATA2 ChIP-Seq - Rep 1, CON KD + FBS | GATA2 ChIP-Seq"
81,81,81,SPP,CREB1,ACSL1,prostate,"FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - LNCaP-abl"
82,82,82,SPP,EGR1,ACSL1,colon,EGR1 IP - HCT116 cells
83,83,83,SPP,GATA3,ACSL1,cns,GATA3 IP - SK-N-SH cells
84,84,84,SPP,ELF3,ACSL1,pancreas,"ELF3 IP, ELF3 IP | KLF5 KO, ELF3 IP"
85,85,85,SPP,JUND,ACSL1,leukocytes,"JUND IP - GM12878 cells, Rep 2, JUND IP - GM12878 cells, Rep 1 , JUND IP - K562 cells"
86,86,86,SPP,MYB,ACSL1,leukocytes,"MYB IP - Jurkat, Rep 5, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1"
87,87,87,SPP,FOXA1,ACSL1,pancreas,"FOXA1 IP | KLF5 KO, FOXA1 IP, FOXA1 IP"
88,88,88,SPP,PIAS1,ACSL1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1"
89,89,89,SPP,TBP,ACSL1,uterus,TBP IP - HeLa cells
90,90,90,SPP,JUND,ACSL1,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells"
91,91,91,SPP,GATA2,ACSL1,vasculature,GATA2 IP - HUVEC cells
92,92,92,SPP,GATA2,ACSL1,leukocytes,GATA2 IP - K562 cells
93,93,93,SPP,LYL1,ACSL1,leukocytes,"LYL1 IP - Kasumi-1, LYL1 IP - HL-60"
94,94,94,SPP,CREB1,ACSL1,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP, CREB1 IP"
95,95,95,SPP,JUN,ACSL1,leukocytes,"JUN IP - K562 cells, Rep 2, JUN IP | IFNG - K562 cells, 6 h, JUN IP | IFNA1-13 - 30 min , JUN IP | IFNG - K562 cells, 30 min, JUN IP - K562 cells, Rep 1"
96,96,96,SPP,SP1,ACSL1,stemcells,SP1 IP - H1 cells
97,97,97,SPP,E2F6,ACSL1,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells"
98,98,98,SPP,CTCF,ACSL1,kidney,"CTCF IP - RPTEC cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 "
99,99,99,SPP,NFYA,ACSL1,colon,NFYA IP 
100,100,100,SPP,CTCF,ACSL1,hspcs,"CTCF IP - HSPCs, Rep 1"
101,101,101,SPP,HOXA6,ACSL1,colon,HOXA6 IP 
