Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
168,168,168,SPP,STAT5B,ACLY,leukocytes,STAT5B IP | IL2 - Rep 2
169,169,169,SPP,IL2,ACLY,leukocytes,STAT5B IP | IL2 - Rep 2
170,170,170,SPP,SP2,ACLY,leukocytes,SP2 IP - K562 cells
171,171,171,SPP,CTCF,ACLY,mammarygland,"CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 2 "
172,172,172,SPP,TP53,ACLY,bone,TP53 IP | TP53EE/RR OE
173,173,173,SPP,ZNF384,ACLY,leukocytes,ZNF384 IP - K562 cells
174,174,174,SPP,FOXA2,ACLY,liver,FOXA2 IP - HepG2 cells
175,175,175,SPP,ERG,ACLY,leukocytes,ERG IP - Rep 1
176,176,176,SPP,FOXA1,ACLY,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2"
177,177,177,SPP,YY1,ACLY,lung,YY1 IP - A549 cells
178,178,178,SPP,MAFK,ACLY,lung,MAFK IP - IMR cells
179,179,179,SPP,SREBF1,ACLY,leukocytes,SREBF1 IP - GM12878 cells
180,180,180,SPP,ROSI,ACLY,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
181,181,181,SPP,TNF,ACLY,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells"
182,182,182,SPP,MAZ,ACLY,uterus,MAZ IP - HeLa cells
183,183,183,SPP,POU2F2,ACLY,leukocytes,POU2F2 IP - GM12878 cells
184,184,184,SPP,GATA3,ACLY,lung,GATA3 IP - A549 cells
185,185,185,SPP,NFYA,ACLY,leukocytes,NFYA IP - K562 cells
186,186,186,SPP,EGR1,ACLY,leukocytes,EGR1 IP - K562 cells
187,187,187,SPP,EBF1,ACLY,leukocytes,"EBF1 IP - GM12878 cells, EBF1 IP - GM12878 cells"
188,188,188,SPP,CTCF,ACLY,adiposetissue,CTCF ChIP-Seq - d -2
189,189,189,SPP,ATF2,ACLY,colon,ATF2 IP 
190,190,190,SPP,KLF5,ACLY,stomach,KLF5 IP - KATOIII
191,191,191,SPP,HEY1,ACLY,liver,HEY1 IP - HepG2 cells
192,192,192,SPP,MYBL2,ACLY,liver,MYBL2 IP - HepG2 cells
193,193,193,SPP,MAX,ACLY,stemcells,MAX IP - H1 cells
194,194,194,SPP,IRF4,ACLY,leukocytes,IRF4 IP
195,195,195,SPP,ZBTB17,ACLY,bone,ZBTB17 IP
196,196,196,SPP,MAX,ACLY,colon,MAX IP - HCT116 cells
197,197,197,SPP,TCF12,ACLY,leukocytes,TCF12 IP - GM12878 cells
198,198,198,SPP,JUND,ACLY,cns,"JUND IP - SK-N-SH cells , JUND IP - SK-N-SH cells"
199,199,199,SPP,E2F6,ACLY,lung,E2F6 IP - A549 cells
200,200,200,SPP,IRF1,ACLY,colon,IRF1 IP 
201,201,201,SPP,E2F1,ACLY,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
202,202,202,SPP,TCF12,ACLY,cns,TCF12 IP - SK-N-SH cells
203,203,203,SPP,FOSL1,ACLY,mammarygland,FOSL1 IP
204,204,204,SPP,ZBTB7A,ACLY,liver,ZBTB7A IP - HepG2 cells
205,205,205,SPP,CTCF,ACLY,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 "
206,206,206,SPP,JUND,ACLY,leukocytes,JUND IP - K562 cells
207,207,207,SPP,MEF2A,ACLY,leukocytes,MEF2A IP - GM12878 cells
208,208,208,SPP,ATF1,ACLY,leukocytes,ATF1 IP - K562 cells
209,209,209,SPP,NFYA,ACLY,colon,NFYA IP 
210,210,210,SPP,ELF1,ACLY,lung,ELF1 IP - A549 cells
211,211,211,SPP,CPDA,ACLY,mammarygland,JUN IP | CPDA
212,212,212,SPP,MAX,ACLY,lung,"MAX IP - A549 cells, MAX IP - A549 cells"
213,213,213,SPP,TBP,ACLY,liver,TBP IP - HepG2 cells
214,214,214,SPP,E2F4,ACLY,mammarygland,E2F4 IP | 4HT - MCF10 cells
215,215,215,SPP,ELF1,ACLY,colon,ELF1 IP - HCT116 cells
216,216,216,SPP,GABPA,ACLY,lung,GABPA IP - A549 cells
217,217,217,SPP,RO306,ACLY,uterus,GTF2B IP | RO306
218,218,218,SPP,FORSK,ACLY,liver,CEBPB IP | FORSK - HepG2 cells
219,219,219,SPP,REST,ACLY,stemcells,"REST IP - H1 cells, Rep 1"
220,220,220,SPP,PBX3,ACLY,cns,PBX3 IP - SK-N-SH cells
