Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
115,115,115,SPP,AR,SOAT1,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq"
116,116,116,SPP,HEY1,SOAT1,leukocytes,HEY1 IP - K562 cells
117,117,117,SPP,FOXA1,SOAT1,mammarygland,"FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DHT | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2"
118,118,118,SPP,SP1,SOAT1,lung,SP1 IP - A549 cells
119,119,119,SPP,MAX,SOAT1,stemcells,MAX IP - H1 cells
120,120,120,SPP,CEBPB,SOAT1,mammarygland,CEBPB IP - MCF7 cells
121,121,121,SPP,REST,SOAT1,stemcells,"REST IP - H1 cells, Rep 2, REST IP - H1 cells, Rep 1"
122,122,122,SPP,MYC,SOAT1,mammarygland,"MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells, MYC IP, DHT | MYC ChIP-Seq"
123,123,123,SPP,4HT,SOAT1,mammarygland,"MYC IP | 4HT - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h, STAT3 IP | 4HT - MCF10 cells, 12 h, FOS IP | 4HT - MCF10A cells, 12 h, E2F4 IP | 4HT - MCF10 cells, STAT3 IP | 4HT - MCF10 cells, 36 h"
124,124,124,SPP,ETV5,SOAT1,colon,ETV5 IP 
125,125,125,SPP,ZNF263,SOAT1,kidney,ZNF263 IP - HEK293 cells
126,126,126,SPP,RUNX1,SOAT1,hspcs,RUNX1
127,127,127,SPP,UBTF,SOAT1,leukocytes,"UBTF IP - K562 cells, UBTF IP - K562 cells"
128,128,128,SPP,CTCF,SOAT1,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3"
129,129,129,SPP,MAX,SOAT1,vasculature,MAX IP - HUVEC cells
130,130,130,SPP,TEAD1,SOAT1,cns,"TEAD1 IP - Rep 2, TEAD1 IP - Rep 1"
131,131,131,SPP,HOXA4,SOAT1,colon,HOXA4 IP 
132,132,132,SPP,E2F6,SOAT1,lung,E2F6 IP - A549 cells
133,133,133,SPP,MAZ,SOAT1,liver,MAZ IP - HepG2 cells
134,134,134,SPP,TCF7L2,SOAT1,mammarygland,TCF7L2 ChIP-Seq
135,135,135,SPP,HEY1,SOAT1,liver,HEY1 IP - HepG2 cells
136,136,136,SPP,E2F1,SOAT1,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP"
137,137,137,SPP,KLF11,SOAT1,adiposetissue,"KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
138,138,138,SPP,GATA2,SOAT1,leukocytes,GATA2 IP - K562 cells
139,139,139,SPP,SOX2,SOAT1,stemcells,SOX2 IP
140,140,140,SPP,USF1,SOAT1,uterus,USF1 IP - ECC1 cells
141,141,141,SPP,TBP,SOAT1,liver,TBP IP - HepG2 cells
142,142,142,SPP,TCF12,SOAT1,lung,TCF12 IP - A549 cells
143,143,143,SPP,CTCF,SOAT1,vasculature,"CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HPAF cells, Rep 2 "
144,144,144,SPP,RELA,SOAT1,adiposetissue,"RELA IP, RELA IP"
145,145,145,SPP,YY1,SOAT1,cns,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells"
146,146,146,SPP,CTCF,SOAT1,colon,"CTCF IP - Caco , CTCF IP - HCT116 cells, CTCF IP - HCT116 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 2 , CTCF IP - Caco-2 cells, Rep 1 "
147,147,147,SPP,REST,SOAT1,lung,REST IP - A549 cells
148,148,148,SPP,USF2,SOAT1,leukocytes,USF2 IP - GM12878 cells
149,149,149,SPP,USF1,SOAT1,colon,USF1 IP - HCT116 cells
150,150,150,SPP,MAFK,SOAT1,uterus,MAFK IP - HeLa cells
151,151,151,SPP,CREB1,SOAT1,uterus,CREB1 IP - ECC1 cells
152,152,152,SPP,GATA3,SOAT1,mammarygland,"GATA3 IP - T47D cells, GATA3 IP - MCF7 cells"
153,153,153,SPP,BHLHE40,SOAT1,leukocytes,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells"
154,154,154,SPP,CEBPB,SOAT1,colon,"CEBPB IP, CEBPB IP - HCT116 cells, CEBPB IP | 125DVD3"
155,155,155,SPP,RELA,SOAT1,colon,RELA IP 
156,156,156,SPP,GATA2,SOAT1,hspcs,GATA2 IP
157,157,157,SPP,STAT3,SOAT1,leukocytes,STAT3 IP - SU-DHL-6
158,158,158,SPP,HOXA6,SOAT1,colon,HOXA6 IP 
159,159,159,SPP,ZNF263,SOAT1,leukocytes,ZNF263 IP - K562 cells
160,160,160,SPP,TEAD4,SOAT1,leukocytes,TEAD4 IP - K562 cells
161,161,161,SPP,ELF1,SOAT1,mammarygland,ELF1 IP - MCF7 cells
162,162,162,SPP,E2F1,SOAT1,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1"
163,163,163,SPP,NFYB,SOAT1,uterus,NFYB IP - HeLa cells
164,164,164,SPP,NFYB,SOAT1,leukocytes,"NFYB IP - GM12878 cells, NFYB IP - K562 cells"
