Database,TF,TargetGene,Tissue,Experiment
SPP,CTCF,LIPC,skin,"CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - NHEK cells , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG09309 cells, Rep 2 , CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells "
SPP,REST,LIPC,liver,"REST IP - HepG2 cells, Rep 2, REST IP - HepG2 cells, Rep 1"
SPP,CTCF,LIPC,hspcs,"CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - HEL 92.1.7 cells, Rep 4 , CTCF IP - Erythroid cells, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - HEL 92.1.7 cells, Rep 5 "
SPP,ELF3,LIPC,pancreas,"ELF3 IP, ELF3 IP, ELF3 IP | KLF5 KO"
SPP,GATA3,LIPC,cns,GATA3 IP - SK-N-SH cells
SPP,GATA6,LIPC,stomach,"GATA6 IP - AGS, GATA6 IP - YCC3"
SPP,RELA,LIPC,adiposetissue,"RELA IP, RELA IP, RELA IP, RELA IP"
SPP,MAX,LIPC,liver,"MAX IP - HepG2 cells, MAX IP - HepG2 cells, MAX IP - MCF7 cells"
SPP,PRDM1,LIPC,uterus,PRDM1 IP - HeLa cells
SPP,ATF3,LIPC,lung,ATF3 IP - A549 cells
SPP,MAX,LIPC,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1"
SPP,SMAD1,LIPC,hspcs,SMAD1 IP - Rep 3
SPP,IRF1,LIPC,pancreas,IRF1 IP
SPP,ETS1,LIPC,leukocytes,"ETS1 IP - K562 cells, ETS1 IP"
SPP,IRF1,LIPC,colon,IRF1 IP 
SPP,JUN,LIPC,mammarygland,"JUN IP - Rep 1, JUN IP | CPDA, JUN IP - Rep 2"
SPP,JUND,LIPC,cns,"JUND IP - SK-N-SH cells, JUND IP - SK-N-SH cells "
SPP,RELA,LIPC,colon,RELA IP 
SPP,JUN,LIPC,vasculature,"JUN IP, JUN IP - HUVEC cells"
SPP,TEAD4,LIPC,lung,TEAD4 IP - A549 cells
SPP,GLI2,LIPC,colon,GLI2 IP 
SPP,EBF1,LIPC,adiposetissue,"EBF1 IP, EBF1 IP"
SPP,CEBPB,LIPC,leukocytes,"CEBPB IP - K562 cells, CEBPB ChIP-Seq - K562, CEBPB IP | oxLDL  - Rep 208"
SPP,GATA2,LIPC,cns,GATA2 ChIP-Seq SH-SY5Y
SPP,GATA3,LIPC,mammarygland,"GATA3 IP - MCF7 cells, GATA3 IP - T47D cells, GATA3 IP - MCF-7 cells"
SPP,GATA2,LIPC,prostate,"FOXA1 KD | GATA2 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq, GATA2 KD + R1881 | FOXA1 ChIP-Seq"
SPP,CTCF,LIPC,uterus,"CTCF IP - HeLa cells, Rep 1 , CTCF IP - HeLa cells "
