classification,metabolites,Chebi,kegg,PubChem,Lipidmaps,Notation
lipid_species,3-Oxo-dodecanoyl-ACP,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=1637,http://www.genome.jp/dbget-bin/www_bget?C05756,,,C12:0(3-oxo)-ACP
lipid_species,3-Oxododecanoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27868,http://www.genome.jp/dbget-bin/www_bget?C05263,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061158,,C12:0(3-oxo)-CoA
lipid_species,3-Oxohexadecanoyl-ACP,https://www.ebi.ac.uk/chebi/CHEBI:1639,http://www.genome.jp/dbget-bin/www_bget?C05762,,,C16:0(3-oxo)-ACP
lipid_species,3-Oxo-hexadecanoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15491,http://www.genome.jp/dbget-bin/www_bget?C05259,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440601,,C16:0(3-oxo)-CoA
lipid_species,3-Oxohexanoyl-ACP,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=1642,http://www.genome.jp/dbget-bin/www_bget?C05746,,,C6:0(3-oxo)-ACP
lipid_species,3-Oxo-hexanoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27648,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061163,,C6:0(3-oxo)-CoA
lipid_species,3-Oxo-octanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:28264,http://www.genome.jp/dbget-bin/www_bget?C05267,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440608,,C8:0(3-oxo)-CoA
lipid_species,3-Oxooctanoyl-ACP,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=1646,http://www.genome.jp/dbget-bin/www_bget?C05750,,,C8:0(3-oxo)-ACP
lipid_species,3-oxopalmitoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:15491,,,,C16:0(3-oxo)-CoA
lipid_species,3-Oxo-tetradecanoyl-ACP,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=1655,http://www.genome.jp/dbget-bin/www_bget?C05759,,,C14:0(3-oxo)-ACP
lipid_species,3-trans-decenoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=29126,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16019966,,3-trans-decenoyl CoA
lipid_species,"4,8,12-trimethyltridecanoyl-CoA",https://www.ebi.ac.uk/chebi/CHEBI:15495,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131769860,,"4,8,12-trimethyltridecanoyl-CoA"
lipid_derivative,"4,8-dimethylnonanoylcarnitine",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63874,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53477801,,DMN-Carnitine
lipid_species,"4,8-dimethylnonanoyl-CoA",https://www.ebi.ac.uk/chebi/CHEBI:63856,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53481003,,"4,8-dimethylnonanoyl-CoA"
lipid_derivative,"4-Androsten-11b-ol-3,17-dione",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=8067,http://www.genome.jp/dbget-bin/www_bget?C05284,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4762,,11b-OH-Androstenedione
lipid_derivative,"4-Cholesten-7a,12a,24(S)-triol-3-one",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=48714,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24755588,,Cholesten-triol-one
