TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
MYB,TECR,leukocytes,,,,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5",,MYB -> TECR,1,1,low,low
MYBL2,TECR,liver,,,,MYBL2 IP - HepG2 cells,,MYBL2 -> TECR,1,1,low,low
MYC,TECR,leukocytes,18940864,,,"MYC IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 1, MYC IP - NB4 cells",,MYC -> TECR,2,3,low,low
MYC,TECR,mammarygland,,,,"DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells",,MYC -> TECR,2,3,low,low
MYC,TECR,uterus,,,,MYC IP - HeLa cells,,MYC -> TECR,2,3,low,low
NANOG,TECR,stemcells,,,,"NANOG IP - Rep 2 , NANOG IP - Rep 2, NANOG IP - H1 cells, NANOG IP - Rep 8 , NANOG IP - Rep 6 , NANOG IP - Rep 5 , NANOG IP - Rep 3",,NANOG -> TECR,1,1,low,low
NFYA,TECR,colon,,,,NFYA IP,,NFYA -> TECR,3,3,low,low
NFYA,TECR,leukocytes,,,,NFYA IP - K562 cells,,NFYA -> TECR,3,3,low,low
NFYA,TECR,uterus,,,,NFYA IP - HeLa cells,,NFYA -> TECR,3,3,low,low
NFYB,TECR,leukocytes,,,,"NFYB IP - GM12878 cells, NFYB IP - K562 cells",,NFYB -> TECR,2,2,low,low
NFYB,TECR,uterus,,,,NFYB IP - HeLa cells,,NFYB -> TECR,2,2,low,low
NFYC,TECR,colon,,,,NFYC IP,,NFYC -> TECR,1,1,low,low
PAX5,TECR,leukocytes,,,,"PAX5 IP - GM12878 cells, Rep 2",,PAX5 -> TECR,1,1,low,low
PBX3,TECR,cns,,,,PBX3 IP - SK-N-SH cells,,PBX3 -> TECR,3,3,low,low
PBX3,TECR,leukocytes,,,,PBX3 IP - GM12878 cells,,PBX3 -> TECR,3,3,low,low
PBX3,TECR,lung,,,,PBX3 IP - A549 cells,,PBX3 -> TECR,3,3,low,low
POU2F2,TECR,leukocytes,,,,POU2F2 IP - GM12878 cells,,POU2F2 -> TECR,1,1,low,low
RBPJ,TECR,leukocytes,,,,RBPJ IP | COMPE - wash,,RBPJ -> TECR,1,1,low,low
RELA,TECR,adiposetissue,,,,"RELA IP, RELA IP, RELA IP",,RELA -> TECR,3,3,low,low
RELA,TECR,colon,,,,RELA IP,,RELA -> TECR,3,3,low,low
RELA,TECR,leukocytes,,,,"RELA IP | TNF - GM12892 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells",,RELA -> TECR,3,3,low,low
REST,TECR,cns,,,,"REST IP - PFSK-N-SH cells1 cells, Rep 1, REST IP - PFSK1 cells, Rep 2, REST IP - U87 cells, REST IP - SK cells, REST IP - SK-N-SH cells",,REST -> TECR,7,9,high,high
REST,TECR,colon,,,,"REST IP , REST IP - HCT116 cells",,REST -> TECR,7,9,high,high
REST,TECR,leukocytes,,,,"REST IP - HL60 cells, REST IP - K562 cells, REST IP - GM12878 cells, Rep 16",,REST -> TECR,7,9,high,high
REST,TECR,liver,,,,"REST IP - HepG2 cells, Rep 1",,REST -> TECR,7,9,high,high
REST,TECR,lung,,,,REST IP - A549 cells,,REST -> TECR,7,9,high,high
REST,TECR,mammarygland,,,,REST IP - MCF7 cells,,REST -> TECR,7,9,high,high
REST,TECR,pancreas,,,,"REST IP - Panc1 cells, Rep 3",,REST -> TECR,7,9,high,high
REST,TECR,stemcells,,,,"REST IP - H1 cells, Rep 1",24076218,REST -> TECR,7,9,high,high
REST,TECR,uterus,,,,REST IP - SK-N-SH cells,,REST -> TECR,7,9,high,high
RUNX1,TECR,hspcs,,,,RUNX1,,RUNX1 -> TECR,3,3,low,low
RUNX1,TECR,leukocytes,,,,"RUNX1 IP - Rep 2, RUNX1 IP, RUNX1 IP",,RUNX1 -> TECR,3,3,low,low
RUNX1,TECR,skin,21571218,,,,,RUNX1 -> TECR,3,3,low,low
SOX10,TECR,skin,,,,SOX10 IP,,SOX10 -> TECR,1,1,low,low
SOX9,TECR,colon,,,,SOX9 IP,,SOX9 -> TECR,1,1,low,low
SP1,TECR,colon,,,,SP1 IP - HCT116 cells,,SP1 -> TECR,5,5,medium,medium
SP1,TECR,leukocytes,,,,"SP1 IP - K562 cells, SP1 IP - GM12878 cells",,SP1 -> TECR,5,5,medium,medium
SP1,TECR,liver,,,,SP1 IP - HepG2 cells,,SP1 -> TECR,5,5,medium,medium
SP1,TECR,lung,,,,SP1 IP - A549 cells,,SP1 -> TECR,5,5,medium,medium
SP1,TECR,stemcells,,,,"SP1 IP - Rep 1 , SP1 IP - Rep 2 , SP1 IP - H1 cells",,SP1 -> TECR,5,5,medium,medium
SP2,TECR,leukocytes,,,,SP2 IP - K562 cells,24076218,SP2 -> TECR,2,2,low,low
SP2,TECR,liver,,,,SP2 IP - HepG2 cells,,SP2 -> TECR,2,2,low,low
SPI1,TECR,leukocytes,,,,"SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - U-937 cells, Rep 4 , SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - U-937 cells, Rep 1 , SPI1 IP, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP - K562 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP",,SPI1 -> TECR,1,1,low,low
SREBF1,TECR,liver,,,,SREBF1 IP | INS + 22RHC - HepG2 cells,,SREBF1 -> TECR,1,1,low,low
SRF,TECR,colon,,,,SRF IP - HCT116 cells,,SRF -> TECR,2,3,low,low
SRF,TECR,mammarygland,,,,SRF IP - MCF7 cells,,SRF -> TECR,2,3,low,low
SRF,TECR,uterus,,,,SRF IP - ECC1 cells,,SRF -> TECR,2,3,low,low
STAT1,TECR,leukocytes,,,,"STAT1 IP - Rep 5, STAT1 IP - Rep 2, STAT1 IP - Rep 1, STAT1 IP - Rep 3",,STAT1 -> TECR,2,2,low,low
